,GMM,GMM,GMM,K-Means,K-Means,K-Means,Tertile,Tertile,Tertile,ROC,ROC,ROC,Mean ±2 SD,Mean ±2 SD,Mean ±2 SD
,A-beta 1-42 in CSF,pTau in CSF,tTau in CSF,A-beta 1-42 in CSF,pTau in CSF,tTau in CSF,A-beta 1-42 in CSF,pTau in CSF,tTau in CSF,A-beta 1-42 in CSF,pTau in CSF,tTau in CSF,A-beta 1-42 in CSF,pTau in CSF,tTau in CSF
ADNI,"986.9 [986.0, 987.9]","34.7 [34.6, 34.8]","356.9 [356.1, 357.7]","972.6 [971.6, 973.6]","28.1 [28.0, 28.1]","288.2 [287.8, 288.6]","833.3 [831.2, 835.3]","21.8 [21.8, 21.9]","240.1 [239.5, 240.6]","819.4 [815.8, 823.1]","23.6 [23.5, 23.7]","259.0 [258.0, 260.0]","283.8 [281.8, 285.8]","40.7 [40.6, 40.8]","408.5 [407.6, 409.4]"
EPAD,"1035.7 [1035.0, 1036.4]","27.8 [27.7, 27.8]","307.0 [306.6, 307.4]","1033.3 [1032.6, 1034.0]","19.8 [19.8, 19.9]","223.7 [223.5, 223.9]","884.5 [883.5, 885.4]","19.9 [19.8, 19.9]","228.2 [227.9, 228.5]","684.7 [680.5, 688.9]","23.9 [23.6, 24.3]","267.9 [263.3, 272.4]","339.0 [338.1, 339.9]","43.3 [43.2, 43.4]","435.9 [435.2, 436.7]"
AIBL,"749.0 [743.2, 754.8]","87.8 [86.8, 88.9]","604.5 [597.0, 612.0]","684.0 [681.2, 686.7]","77.7 [77.0, 78.4]","530.6 [523.3, 537.9]",,,,,,,,,
ARWIBO,"589.2 [585.0, 593.5]","155.0 [148.2, 161.9]","531.6 [526.7, 536.4]","523.8 [521.7, 526.0]","69.1 [68.9, 69.4]","432.1 [428.8, 435.4]",,,,,,,,,
EDSD,"782.2 [776.1, 788.3]","119.2 [117.7, 120.8]","584.8 [576.2, 593.5]","741.8 [736.1, 747.5]","86.7 [86.0, 87.4]","547.6 [543.0, 552.2]",,,,,,,,,
PREVENT-AD,"1187.4 [1158.6, 1216.2]","71.1 [70.3, 72.0]","466.5 [457.2, 475.8]","1146.4 [1144.1, 1148.8]","50.8 [50.6, 51.0]","308.8 [306.6, 310.9]","1098.7 [1096.8, 1100.6]","53.0 [52.9, 53.1]","303.3 [302.5, 304.1]",,,,"593.6 [589.7, 597.6]","89.2 [88.9, 89.6]","593.3 [589.5, 597.2]"
PharmaCog,"792.9 [791.1, 794.7]","93.0 [92.7, 93.3]","773.4 [750.8, 796.0]","762.2 [759.5, 764.8]","68.6 [68.0, 69.2]","466.9 [464.6, 469.2]",,,,,,,,,
NACC_ELISA,"594.1 [592.6, 595.7]","81.7 [80.9, 82.5]","564.6 [552.4, 576.9]","586.1 [584.9, 587.2]","61.6 [61.4, 61.8]","492.1 [490.2, 493.9]","625.5 [623.6, 627.5]","48.3 [48.1, 48.4]","371.3 [369.6, 373.0]","451.5 [448.1, 454.8]","61.2 [60.9, 61.6]","500.6 [496.0, 505.1]","294.4 [292.6, 296.2]","87.3 [86.8, 87.8]","725.3 [722.0, 728.7]"
EMIF_ELISA,"742.1 [741.2, 743.0]","82.1 [81.9, 82.3]","526.6 [524.2, 528.9]","697.7 [695.2, 700.1]","64.9 [64.8, 65.0]","432.5 [431.7, 433.4]","541.0 [539.7, 542.2]","52.3 [52.2, 52.4]","268.8 [268.0, 269.6]","580.2 [575.8, 584.5]","62.6 [62.1, 63.1]","335.7 [333.7, 337.8]","175.2 [173.7, 176.8]","94.8 [94.3, 95.3]","653.8 [645.4, 662.1]"
NACC_XMAP,"298.7 [297.0, 300.4]","60.8 [59.9, 61.7]","94.5 [93.8, 95.3]","290.7 [288.4, 293.0]","40.1 [40.0, 40.3]","70.2 [70.0, 70.4]","248.5 [247.7, 249.3]","36.5 [36.4, 36.6]","54.0 [53.8, 54.2]","225.3 [224.8, 225.9]","40.3 [40.1, 40.5]","62.7 [62.1, 63.3]","23.6 [22.5, 24.6]","68.9 [68.5, 69.3]","99.3 [98.8, 99.7]"
EMIF_XMAP,"386.9 [384.2, 389.5]","51.6 [51.2, 52.1]","227.7 [220.8, 234.5]","363.3 [362.3, 364.2]","37.5 [37.4, 37.6]","128.9 [128.3, 129.5]","446.7 [444.9, 448.4]","31.4 [31.1, 31.6]","80.9 [80.3, 81.4]","375.4 [373.2, 377.5]","30.6 [30.3, 30.9]","98.6 [98.0, 99.1]","247.6 [244.6, 250.6]","54.5 [54.1, 54.8]","122.7 [122.1, 123.2]"
DOD-ADNI,"1412.8 [1394.9, 1430.8]","26.6 [26.4, 26.7]","304.0 [302.3, 305.7]","1273.5 [1267.1, 1279.8]","22.4 [22.3, 22.5]","249.8 [248.8, 250.8]","928.4 [924.4, 932.4]","19.8 [19.8, 19.9]","232.7 [231.9, 233.4]",,,,"289.3 [285.5, 293.2]","34.2 [34.1, 34.4]","369.6 [368.3, 370.8]"
JADNI,"414.7 [412.5, 416.9]","61.1 [60.8, 61.5]","133.9 [132.6, 135.2]","392.5 [390.6, 394.4]","59.9 [59.6, 60.1]","129.0 [127.9, 130.0]","392.7 [390.9, 394.5]","38.5 [38.5, 38.6]","72.0 [71.8, 72.3]","343.1 [341.7, 344.6]","46.0 [45.8, 46.3]","84.9 [84.7, 85.0]","191.2 [189.5, 193.0]","65.1 [64.5, 65.6]","126.3 [125.4, 127.3]"
