Cohort,Aβ1-42_GMM,pTau_GMM,tTau_GMM,Aβ1-42_K-Means,pTau_K-Means,tTau_K-Means,Aβ1-42_Tertile,pTau_Tertile,tTau_Tertile,Aβ1-42_ROC,pTau_ROC,tTau_ROC,Aβ1-42_Mean ±2 SD,pTau_Mean ±2 SD,tTau_Mean ±2 SD
ADNI,983.7,34.3,352.3,973.0,28.1,286.2,832.1,21.5,240.5,801.7,24.2,264.8,280.8,40.9,409.7
EPAD,1034.9,27.7,306.7,1030.7,19.8,223.7,883.0,19.9,228.3,731.5,20.9,213.8,337.9,43.3,436.4
AIBL,714.4,92.6,591.5,689.9,77.7,635.3,-,-,-,-,-,-,-,-,-
ARWIBO,577.5,126.2,499.0,512.8,69.2,406.2,-,-,-,-,-,-,-,-,-
EDSD,737.5,113.2,535.7,790.8,82.8,577.7,-,-,-,-,-,-,-,-,-
PharmaCog,779.6,93.1,630.6,773.6,66.2,465.8,-,-,-,-,-,-,-,-,-
PREVENT-AD,1030.9,68.0,424.8,1150.4,50.3,301.6,1104.4,53.1,304.2,-,-,-,588.4,89.6,598.1
NACC_ELISA,596.2,80.8,537.4,591.4,61.1,497.4,629.0,48.0,376.6,474.0,64.0,468.0,291.5,88.0,728.8
EMIF_ELISA,730.9,81.4,523.8,723.7,65.0,435.1,538.2,52.1,269.4,560.0,59.0,355.4,173.1,95.1,669.4
NACC_XMAP,298.6,58.4,94.0,270.3,40.2,70.0,244.8,36.3,53.8,226.4,41.2,56.7,21.8,69.3,99.7
EMIF_XMAP,400.4,51.7,204.2,356.4,37.6,129.9,450.2,30.8,83.2,352.2,28.7,100.1,239.5,55.2,123.4
DOD-ADNI,1276.0,26.5,306.1,1231.9,22.5,250.2,927.0,19.8,229.0,-,-,-,282.4,34.3,369.9
JADNI,416.4,61.3,133.8,414.3,62.0,145.8,392.0,38.9,72.2,333.9,44.9,86.2,186.9,66.2,128.2
