,0
0,Cortical White Matter Volume
1,Left Caudal Anterior Cingulate Mean Cortical Thickness
2,Left Caudal Middle Frontal Mean Cortical Thickness
3,Left Cuneus Mean Cortical Thickness
4,Left Fusiform Mean Cortical Thickness
5,Left Hippocampus Volume
6,Left Inferiorparietal Mean Cortical Thickness
7,Left Inferiortemporal Mean Cortical Thickness
8,Left Insula Mean Cortical Thickness
9,Left Isthmus Cingulate Mean Cortical Thickness
10,Left Lateral Occipital Gray Matter Volume
11,Left Lateral Ventricle Volume
12,Left Lateraloccipital Mean Cortical Thickness
13,Left Lateralorbitofrontal Mean Cortical Thickness
14,Left Lingual Grey Gray Matter Volume
15,Left Lingual Mean Cortical Thickness
16,Left Medial Orbitofrontal Gray Matter Volume
17,Left Medial Orbitofrontal Mean Cortical Thickness
18,Left Middle Temporal Gray Matter Volume
19,Left Middle Temporal Mean Cortical Thickness
20,Left Paracentral Gray Matter Volume
21,Left Paracentral Mean Cortical Thickness
22,Left Parahippocampal Mean Cortical Thickness
23,Left Pars Opercularis Gray Matter Volume
24,Left Pars Opercularis Mean Cortical Thickness
25,Left Pars Orbitalis Gray Matter Volume
26,Left Pars Triangularis Gray Matter Volume
27,Left Pars Triangularis Mean Cortical Thickness
28,Left Parsorbitalis Mean Cortical Thickness
29,Left Pericalcarine Gray Matter Volume
30,Left Pericalcarine Mean Cortical Thickness
31,Left Postcentral Gray Matter Volume
32,Left Postcentral Mean Cortical Thickness
33,Left Posterior Cingulate Gray Matter Volume
34,Left Posterior Cingulate Mean Cortical Thickness
35,Left Precentral Gray Matter Volume
36,Left Precentral Mean Cortical Thickness
37,Left Precuneus Grey Matter Volume
38,Left Precuneus Mean Cortical Thickness
39,Left Rostral Anterior Cingulate Gray Matter Volume
40,Left Rostral Anterior Cingulate Mean Cortical Thickness
41,Left Rostral Middle Frontal Gray Matter Volume
42,Left Rostral Middle Frontal Mean Cortical Thickness
43,Left Superior Frontal Gray Matter Volume
44,Left Superior Frontal Mean Cortical Thickness
45,Left Superior Parietal Gray Matter Volume
46,Left Superior Temporal Mean Cortical Thickness
47,Left Superiorparietal Mean Cortical Thickness
48,Left Supramarginal Gray Matter Volume
49,Left Supramarginal Mean Cortical Thickness
50,Left Transverse Temporal Grey Matter Volume
51,Left Transverse Temporal Mean Cortical Thickness
52,Right Caudal Anterior Cingulate Mean Cortical Thickness
53,Right Cuneus Mean Cortical Thickness
54,Right Entorightinal Mean Cortical Thickness
55,Right Fusiform Mean Cortical Thickness
56,Right Hippocampus Volume
57,Right Inferiorparietal Mean Cortical Thickness
58,Right Inferiortemporal Mean Cortical Thickness
59,Right Insula Mean Cortical Thickness
60,Right Isthmus Cingulate Mean Cortical Thickness
61,Right Lateral Occipital Gray Matter Volume
62,Right Lateral Ventricle Volume
63,Right Lateraloccipital Mean Cortical Thickness
64,Right Lateralorbitofrontal Mean Cortical Thickness
65,Right Lingual Grey Matter Volume
66,Right Lingual Mean Cortical Thickness
67,Right Medial Orbitofrontal Grey Matter Volume
68,Right Medial Orbitofrontal Mean Cortical Thickness
69,Right Middle Temporal Gray Matter Volume
70,Right Middle Temporal Mean Cortical Thickness
71,Right Paracentral Mean Cortical Thickness
72,Right Parahippocampal Mean Cortical Thickness
73,Right Pars Opercularis Gray Matter Volume
74,Right Pars Opercularis Mean Cortical Thickness
75,Right Pars Orbitalis Gray Matter Volume
76,Right Pars Triangularis Gray Matter Volume
77,Right Pars Triangularis Mean Cortical Thickness
78,Right Parsorbitalis Mean Cortical Thickness
79,Right Pericalcarine Gray Matter Volume
80,Right Pericalcarine Mean Cortical Thickness
81,Right Postcentral Grey Matter Volume
82,Right Postcentral Mean Cortical Thickness
83,Right Posterior Cingulate Gray Matter Volume
84,Right Posterior Cingulate Mean Cortical Thickness
85,Right Precentral Gray Matter Volume
86,Right Precentral Mean Cortical Thickness
87,Right Precuneus Grey Matter Volume
88,Right Precuneus Mean Cortical Thickness
89,Right Rostral Anterior Cingulate Gray Matter Volume
90,Right Rostral Anterior Cingulate Mean Cortical Thickness
91,Right Rostral Middle Frontal Gray Matter Volume
92,Right Rostral Middle Frontal Mean Cortical Thickness
93,Right Superior Frontal Gray Matter Volume
94,Right Superior Parietal Gray Matter Volume
95,Right Superior Temporal Gray Matter Volume
96,Right Superior Temporal Mean Cortical Thickness
97,Right Superiorfrontal Mean Cortical Thickness
98,Right Superiorparietal Mean Cortical Thickness
99,Right Supramarginal Gray Matter Volume
100,Right Supramarginal Mean Cortical Thickness
101,Right Transverse Temporal Grey Matter Volume
102,Right Transverse Temporal Mean Cortical Thickness
103,Third Ventricle Volume
104,APOE4_0
105,APOE4_1
106,APOE4_2
107,ATN
108,Cohort
